id,exercise_id,anchor,is_primary,created_at
008356e7-f3f7-42e7-a452-67da72424f76,cable-pull-through,hinge,t,2026-02-10 15:15:34.611804+00
054e1655-4a39-44ab-a0c6-d5510886e85d,thruster,press,f,2026-02-10 15:15:34.611804+00
0685694f-509b-4e27-8a1a-9b4838aba5f3,rowing-machine,surprise,t,2026-02-10 15:15:34.611804+00
088aed25-890e-4d36-b7a5-f41c1220ce0d,sled-push,surprise,t,2026-02-10 15:15:34.611804+00
0ac73c05-2f0c-4197-b252-69e55b5e268d,hang-clean,power,t,2026-02-10 15:15:34.611804+00
0d05dd88-bba1-493f-9ae0-257d8a61235e,decline-push-ups,press,t,2026-02-10 15:15:34.611804+00
0dc2bf6f-7d75-4a3f-b096-b0cc30879f66,assault-bike,surprise,t,2026-02-10 15:15:34.611804+00
114e973e-6366-450f-bd93-5c2fab795f49,push-press,press,t,2026-02-10 15:15:34.611804+00
14cabff7-16f2-4976-90db-77a50fa9cfb6,skull-crushers,press,t,2026-02-10 15:15:34.611804+00
15be32c4-77d0-49be-833b-6acd25c3fe27,pallof-press,surprise,t,2026-02-10 15:15:34.611804+00
199ffe39-eca4-482c-ae0e-5738c32f9ad3,sumo-squat,squat,t,2026-02-10 15:15:34.611804+00
1a4ee917-d540-4312-b530-8f7f2c49ceae,tricep-extensions,press,t,2026-02-10 15:15:34.611804+00
1e0818e1-5b9a-45a0-ae27-d18e62b65bed,three-point-row,pull,t,2026-02-10 15:15:34.611804+00
1efa6c9e-51b4-48f1-8d9a-f3fff3ad7a04,frontal-raises,press,t,2026-02-10 15:15:34.611804+00
20aa6b85-c526-4fbf-a485-6825a0a28a92,suitcase-carry,surprise,t,2026-02-10 15:15:34.611804+00
251ae20a-1f43-4465-b28d-f42da5884466,ab-wheel-rollout,surprise,t,2026-02-10 15:15:34.611804+00
254ff551-edfc-4fe9-b374-53a0e2f16ea8,curl-to-press,pull,t,2026-02-10 15:15:34.611804+00
270fd33d-614e-45ee-8105-2be0670b3576,muscle-clean,power,t,2026-02-10 15:15:34.611804+00
27770b14-8515-4470-baa7-fad04f0005ab,glute-bridge,hinge,t,2026-02-10 15:15:34.611804+00
277eca83-5ad6-4be5-9a3e-a1c0c358cedf,back-extension,hinge,t,2026-02-10 15:15:34.611804+00
28616581-c5d2-4aa5-921a-3e769a28f2bf,downward-dog,surprise,t,2026-02-10 15:15:34.611804+00
2c1b7757-0aea-445b-b315-ab64611ce4c9,preacher-curls,pull,t,2026-02-10 15:15:34.611804+00
30f67f39-94b5-4e20-82bb-3c45b2130f5c,leg-swings,surprise,t,2026-02-10 15:15:34.611804+00
33413a09-75a8-4dd9-a000-7f212b189568,hang-snatch,power,t,2026-02-10 15:15:34.611804+00
33956bef-ac0d-4623-99b2-e98f5bb40e80,meadows-row,pull,t,2026-02-10 15:15:34.611804+00
35a1eab4-7832-4670-9b64-44fbe5f90b7c,external-rotation,pull,t,2026-02-10 15:15:34.611804+00
377405f0-9377-4d1a-a53b-ace1e346e1cb,mountain-climbers,surprise,t,2026-02-10 15:15:34.611804+00
37bb55a4-4b61-4e52-812a-7c84f66bf555,hip-circles,surprise,t,2026-02-10 15:15:34.611804+00
3ae65d9e-5a8d-4efe-99de-b9452067c2a1,rdl,hinge,t,2026-02-10 15:15:34.611804+00
3cb3ae68-f2e2-4b2c-9b3d-0aca663dea9b,hollow-body-hold,surprise,t,2026-02-10 15:15:34.611804+00
410fe89c-51d3-40c4-873d-790750f648e6,cable-chest-flys,press,t,2026-02-10 15:15:34.611804+00
429a48f1-3834-47c4-aec9-e82630309c3c,lateral-raises,press,t,2026-02-10 15:15:34.611804+00
43d8be99-d55a-438c-9405-c9d23e495e81,hanging-leg-raises,surprise,t,2026-02-10 15:15:34.611804+00
44053dc5-2c83-443f-9171-4c785f157ced,battle-ropes,surprise,t,2026-02-10 15:15:34.611804+00
444f23c9-1e36-49c9-987e-517fc826ed3c,deadlift,pull,f,2026-02-10 15:15:34.611804+00
482edb5a-9dbd-4600-815a-0047f4d838cf,couch-stretch,surprise,t,2026-02-10 15:15:34.611804+00
4a57351b-c59b-4cc0-aac4-0581a25b7e0b,cat-cow,surprise,t,2026-02-10 15:15:34.611804+00
4b7cfa1a-6ce9-4c7c-85a8-eb74015083d2,toes-to-bar,surprise,t,2026-02-10 15:15:34.611804+00
