id,pattern_id,created_at,updated_at,name,equipment_options,default_equipment,regression,progression,coaching_cues,sections,can_be_primary,equipment_display_names
90-90-stretch,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,90/90 Stretch,{bodyweight},bodyweight,,,"{""Both legs at 90 degrees"",""Rotate between sides"",""Hip mobility""}","{warmup,mobility,cooldown}",f,
ab-wheel-rollout,core-stability,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Ab Wheel Rollout,{bodyweight},bodyweight,,,"{""Extend as far as possible"",""Keep core tight"",""Roll back with control""}",{core},f,
air-squat,squat-bilateral,2026-01-21 04:20:14.697239+00,2026-01-21 17:47:31.281621+00,Air Squat,{bodyweight},bodyweight,,split-squat,"{""Full depth"",""Knees track over toes"",""Arms forward for balance""}","{warmup,conditioning}",f,
arm-circles,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Arm Circles,{bodyweight},bodyweight,,,"{""Small to large circles"",""Both directions"",""Shoulder warm-up""}","{warmup,mobility}",f,
arnold-press,press-vertical,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Arnold Press,{dumbbells},dumbbells,,,"{""Rotate as you press"",""Start palms facing you"",""Full overhead lockout""}",{accessory},f,
assault-bike,conditioning-locomotion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Assault Bike,{assault_bike},assault_bike,,,"{""Full body effort"",""Push and pull arms"",""Pace yourself""}",{conditioning},f,
assisted-pull-ups,pull-vertical,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Assisted Pull-ups,{assisted_pullup_dip},assisted_pullup_dip,,lat-pulldown,"{""Full range of motion"",""Control the movement"",""Progress to less assistance""}",{accessory},f,
back-extension,hinge-extension,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Back Extension,{bodyweight},bodyweight,,,"{""Hinge at hips"",""Neutral spine"",""Squeeze glutes at top""}",{accessory},f,
back-squat,squat-bilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Back Squat,{barbell},barbell,goblet-squat,,"{""Chest up, core braced"",""Knees track over toes"",""Hip crease below knee""}","{primary_lift,accessory}",t,
band-dislocates,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Band Dislocates,{resistance_bands},resistance_bands,,,"{""Wide grip on band"",""Rotate overhead and behind"",""Shoulder mobility""}","{warmup,mobility}",f,
banded-pull-aparts,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Banded Pull-Aparts,{resistance_bands},resistance_bands,,,"{""Band at shoulder height"",""Pull apart to chest"",""Squeeze shoulder blades""}","{warmup,accessory}",f,
barbell-row,pull-horizontal,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Barbell Row (Bent Over),{barbell},barbell,,,"{""Neutral spine, hinged forward"",""Bar to ribcage"",""Squeeze shoulder blades""}","{primary_lift,accessory}",t,
battle-ropes,conditioning-plyometric,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Battle Ropes,{battle_ropes},battle_ropes,,,"{""Alternating waves"",""Core engaged"",""Athletic stance""}",{conditioning},f,
bb-hip-thrust,hinge-hip-thrust,2026-02-04 03:26:17.459181+00,2026-02-04 03:26:17.459181+00,Barbell Hip Thrust,{barbell},barbell,,,"{""Shoulders on bench"",""Drive through heels"",""Full hip extension at top""}",{accessory},f,
bear-crawl,conditioning-locomotion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Bear Crawl,{bodyweight},bodyweight,,,"{""Opposite hand and foot"",""Knees low"",""Core engaged""}","{conditioning,warmup}",f,
