exercise_id,muscle_group,role
90-90-stretch,glutes,primary
90-90-stretch,hip_flexors,primary
ab-wheel-rollout,core,primary
ab-wheel-rollout,delts,stabilizer
ab-wheel-rollout,lats,synergist
air-squat,calves,stabilizer
air-squat,core,stabilizer
air-squat,glutes,primary
air-squat,hamstrings,synergist
air-squat,quads,primary
arm-circles,delts,primary
arm-circles,rotator_cuff,synergist
arnold-press,delts,primary
arnold-press,traps,stabilizer
arnold-press,triceps,synergist
assault-bike,core,stabilizer
assault-bike,glutes,synergist
assault-bike,hamstrings,synergist
assault-bike,quads,primary
assisted-pull-ups,biceps,synergist
assisted-pull-ups,lats,primary
assisted-pull-ups,rhomboids,synergist
back-extension,erectors,primary
back-extension,glutes,synergist
back-extension,hamstrings,synergist
back-squat,core,stabilizer
back-squat,erectors,stabilizer
back-squat,glutes,primary
back-squat,hamstrings,synergist
back-squat,quads,primary
band-dislocates,delts,primary
band-dislocates,rotator_cuff,primary
banded-pull-aparts,delts,synergist
banded-pull-aparts,rhomboids,primary
banded-pull-aparts,rotator_cuff,synergist
barbell-row,biceps,synergist
barbell-row,core,stabilizer
barbell-row,erectors,stabilizer
barbell-row,lats,primary
barbell-row,rhomboids,primary
barbell-row,traps,synergist
battle-ropes,core,primary
battle-ropes,delts,primary
battle-ropes,forearms,synergist
battle-ropes,lats,synergist
bb-hip-thrust,core,stabilizer
bb-hip-thrust,glutes,primary
bb-hip-thrust,hamstrings,synergist
bear-crawl,core,primary
bear-crawl,delts,primary
bear-crawl,hip_flexors,synergist
bear-crawl,quads,synergist
bench-press,core,stabilizer
bench-press,delts,synergist
bench-press,pecs,primary
bench-press,triceps,synergist
bench-press-decline,delts,stabilizer
bench-press-decline,pecs,primary
bench-press-decline,triceps,synergist
bench-press-incline,delts,primary
bench-press-incline,pecs,primary
bench-press-incline,triceps,synergist
bicep-curls,biceps,primary
bicep-curls,forearms,synergist
bicycles,core,primary
bicycles,hip_flexors,synergist
bicycles,obliques,primary
bird-dogs,core,primary
bird-dogs,erectors,synergist
bird-dogs,glutes,synergist
box-jumps,calves,synergist
box-jumps,core,stabilizer
box-jumps,glutes,primary
box-jumps,hamstrings,synergist
box-jumps,quads,primary
box-squat,core,stabilizer
box-squat,glutes,primary
box-squat,hamstrings,synergist
box-squat,quads,primary
box-step-ups,calves,stabilizer
box-step-ups,glutes,primary
box-step-ups,hamstrings,synergist
box-step-ups,quads,primary
bulgarian-split-squat,adductors,stabilizer
bulgarian-split-squat,core,stabilizer
bulgarian-split-squat,glutes,primary
bulgarian-split-squat,hamstrings,synergist
bulgarian-split-squat,quads,primary
burpees,core,synergist
burpees,delts,synergist
burpees,glutes,synergist
burpees,pecs,synergist
burpees,quads,primary
cable-chest-flys,delts,stabilizer
cable-chest-flys,pecs,primary
cable-pull-through,core,stabilizer
cable-pull-through,glutes,primary
cable-pull-through,hamstrings,synergist
cable-rows,biceps,synergist
cable-rows,lats,primary
cable-rows,rhomboids,primary
cable-rows,traps,synergist
cable-woodchops,core,synergist
cable-woodchops,delts,stabilizer
cable-woodchops,obliques,primary
cat-cow,core,synergist
cat-cow,erectors,primary
childs-pose,erectors,synergist
childs-pose,lats,primary
chin-ups,biceps,primary
chin-ups,core,stabilizer
chin-ups,lats,primary
chin-ups,rhomboids,synergist
clean-pull,core,stabilizer
clean-pull,erectors,synergist
clean-pull,glutes,primary
clean-pull,hamstrings,primary
clean-pull,traps,synergist
close-grip-bench,delts,stabilizer
close-grip-bench,pecs,synergist
close-grip-bench,triceps,primary
cossack-squat-weighted,adductors,primary
cossack-squat-weighted,glutes,primary
cossack-squat-weighted,hamstrings,synergist
cossack-squat-weighted,quads,primary
couch-stretch,hip_flexors,primary
couch-stretch,quads,primary
curl-to-press,biceps,primary
curl-to-press,core,stabilizer
curl-to-press,delts,primary
db-chest-flys,delts,stabilizer
db-chest-flys,pecs,primary
db-incline-press,delts,synergist
db-incline-press,pecs,primary
db-incline-press,triceps,synergist
db-thruster,core,stabilizer
db-thruster,delts,primary
db-thruster,glutes,primary
db-thruster,quads,primary
db-thruster,triceps,synergist
dead-bugs,core,primary
dead-bugs,hip_flexors,synergist
deadlift,core,stabilizer
deadlift,erectors,primary
deadlift,forearms,stabilizer
deadlift,glutes,primary
deadlift,hamstrings,primary
deadlift,lats,synergist
deadlift,traps,synergist
decline-push-ups,core,stabilizer
decline-push-ups,delts,primary
decline-push-ups,pecs,primary
decline-push-ups,triceps,synergist
dips,delts,synergist
dips,pecs,primary
dips,triceps,primary
downward-dog,calves,primary
downward-dog,delts,synergist
downward-dog,hamstrings,primary
downward-dog,lats,synergist
external-rotation,delts,stabilizer
external-rotation,rotator_cuff,primary
face-pulls,delts,synergist
face-pulls,rhomboids,primary
face-pulls,rotator_cuff,primary
face-pulls,traps,synergist
farmers-carry,core,primary
farmers-carry,forearms,primary
farmers-carry,glutes,stabilizer
farmers-carry,traps,primary
flutter-kicks,core,primary
flutter-kicks,hip_flexors,synergist
foam-rolling,glutes,primary
foam-rolling,hamstrings,primary
foam-rolling,quads,primary
front-squat,core,stabilizer
front-squat,delts,stabilizer
front-squat,erectors,stabilizer
front-squat,glutes,synergist
front-squat,quads,primary
frontal-raises,delts,primary
frontal-raises,pecs,synergist
glute-bridge,core,stabilizer
glute-bridge,glutes,primary
glute-bridge,hamstrings,synergist
goblet-reverse-lunges,core,stabilizer
goblet-reverse-lunges,glutes,primary
goblet-reverse-lunges,hamstrings,synergist
goblet-reverse-lunges,quads,primary
goblet-squat,core,stabilizer
goblet-squat,glutes,primary
goblet-squat,hamstrings,synergist
goblet-squat,quads,primary
good-morning,core,stabilizer
good-morning,erectors,primary
good-morning,glutes,synergist
good-morning,hamstrings,primary
hack-squat,glutes,synergist
hack-squat,quads,primary
hammer-curls,biceps,primary
hammer-curls,forearms,primary
hang-clean,core,stabilizer
hang-clean,glutes,primary
hang-clean,hamstrings,primary
hang-clean,quads,synergist
hang-clean,traps,synergist
hang-snatch,core,stabilizer
hang-snatch,delts,synergist
hang-snatch,glutes,primary
hang-snatch,hamstrings,primary
hang-snatch,traps,synergist
hanging-knee-tucks,core,primary
hanging-knee-tucks,forearms,stabilizer
hanging-knee-tucks,hip_flexors,synergist
hanging-leg-raises,core,primary
hanging-leg-raises,forearms,stabilizer
hanging-leg-raises,hip_flexors,synergist
high-pulls,biceps,synergist
high-pulls,core,stabilizer
high-pulls,delts,primary
high-pulls,traps,primary
hip-circles,adductors,synergist
hip-circles,glutes,synergist
hip-circles,hip_flexors,primary
hip-thrust,core,stabilizer
hip-thrust,glutes,primary
hip-thrust,hamstrings,synergist
hollow-body-hold,core,primary
hollow-body-hold,hip_flexors,synergist
incline-db-fly,delts,synergist
incline-db-fly,pecs,primary
internal-rotation,delts,stabilizer
internal-rotation,rotator_cuff,primary
inverted-rows,biceps,synergist
inverted-rows,core,stabilizer
inverted-rows,lats,primary
inverted-rows,rhomboids,primary
jump-rope,calves,primary
jump-rope,core,stabilizer
jump-rope,forearms,stabilizer
jump-rope,quads,synergist
l-sit,core,primary
l-sit,hip_flexors,primary
l-sit,triceps,stabilizer
landmine-press,core,stabilizer
landmine-press,delts,primary
landmine-press,pecs,synergist
landmine-press,triceps,synergist
landmine-rotation,core,synergist
landmine-rotation,delts,stabilizer
landmine-rotation,obliques,primary
lat-pulldown,biceps,synergist
lat-pulldown,lats,primary
lat-pulldown,rhomboids,synergist
lateral-lunges,adductors,primary
lateral-lunges,glutes,primary
lateral-lunges,hamstrings,synergist
lateral-lunges,quads,primary
lateral-raises,delts,primary
lateral-raises,traps,synergist
leg-curl,calves,synergist
leg-curl,hamstrings,primary
leg-extension,quads,primary
leg-press,glutes,synergist
leg-press,hamstrings,synergist
leg-press,quads,primary
leg-raises,core,primary
leg-raises,hip_flexors,synergist
leg-swings,glutes,synergist
